"PLT_CN","SHORT","PLOT","SUBP","INVYR","TREE","SPCD","DIA","HT","TPA_UNADJ","agb_gm2","topSICOND","topSTDAGE","gesp","H_assigned","b1","b2","b3","b4","b5","calc_age","calcAgeCut","ageBin","ageBinAdj"
"52882700010538","0023200105030901701013",1013,3,2001,13,12,9.9,33,6.018046,245.074637821613,41,96,"ABBA",33,2.077,0.9303,-0.0285,2.8937,-0.1414,39,"(25,50]",50,50
"52882700010538","0023200105030901701013",1013,3,2001,14,12,7.9,34,6.018046,132.885930756192,41,96,"ABBA",34,2.077,0.9303,-0.0285,2.8937,-0.1414,40,"(25,50]",50,50
"52882700010538","0023200105030901701013",1013,3,2001,15,371,5.5,35,6.018046,87.9024104420706,41,96,"BEAL",35,2.2835,0.9794,-0.0054,0.5819,-0.0281,36,"(25,50]",50,50
"52882700010538","0023200105030901701013",1013,3,2001,16,371,12.7,62,6.018046,823.522582239012,41,96,"BEAL",62,2.2835,0.9794,-0.0054,0.5819,-0.0281,139,"(125,175]",175,175
"52882700010538","0023200105030901701013",1013,3,2001,17,371,5.5,36,6.018046,84.2671455043322,41,96,"BEAL",36,2.2835,0.9794,-0.0054,0.5819,-0.0281,38,"(25,50]",50,50
"52882700010538","0023200105030901701013",1013,4,2001,1,318,7.2,65,6.018046,215.688603525953,41,96,"ACSA",65,3.3721,0.8407,-0.015,2.6208,-0.2661,125,"(100,125]",125,125
"52882700010538","0023200105030901701013",1013,4,2001,2,371,21.8,72,6.018046,2760.69269843827,41,96,"BEAL",72,2.2835,0.9794,-0.0054,0.5819,-0.0281,224,"(175,285]",175,175
"52882700010538","0023200105030901701013",1013,4,2001,3,371,20.2,70,6.018046,2340.33975439271,41,96,"BEAL",70,2.2835,0.9794,-0.0054,0.5819,-0.0281,202,"(175,285]",175,175
"52967848010538","0023200205040702502686",2686,1,2002,2,371,6.4,50,6.018046,139.633413069987,42,97,"BEAL",50,2.2835,0.9794,-0.0054,0.5819,-0.0281,75,"(50,75]",75,75
"52967848010538","0023200205040702502686",2686,1,2002,3,318,5.2,50,6.018046,73.2314073462318,42,97,"ACSA",50,3.3721,0.8407,-0.015,2.6208,-0.2661,67,"(50,75]",75,75
"52967848010538","0023200205040702502686",2686,1,2002,4,318,6.4,53,6.018046,156.713740699837,42,97,"ACSA",53,3.3721,0.8407,-0.015,2.6208,-0.2661,74,"(50,75]",75,75
"52967848010538","0023200205040702502686",2686,1,2002,5,318,7.7,54,6.018046,255.386286619413,42,97,"ACSA",54,3.3721,0.8407,-0.015,2.6208,-0.2661,77,"(75,100]",100,100
"52967848010538","0023200205040702502686",2686,1,2002,9,318,7.9,55,6.018046,273.595813160878,42,97,"ACSA",55,3.3721,0.8407,-0.015,2.6208,-0.2661,80,"(75,100]",100,100
"52967848010538","0023200205040702502686",2686,1,2002,7,371,8.7,53,6.018046,319.347160890185,42,97,"BEAL",53,2.2835,0.9794,-0.0054,0.5819,-0.0281,87,"(75,100]",100,100
"52967848010538","0023200205040702502686",2686,1,2002,8,371,5.5,51,6.018046,87.9024104420706,42,97,"BEAL",51,2.2835,0.9794,-0.0054,0.5819,-0.0281,79,"(75,100]",100,100
"52967848010538","0023200205040702502686",2686,1,2002,10,318,8.7,57,6.018046,354.061016676148,42,97,"ACSA",57,3.3721,0.8407,-0.015,2.6208,-0.2661,86,"(75,100]",100,100
"52967848010538","0023200205040702502686",2686,1,2002,11,316,6.9,54,6.018046,149.164816304019,42,97,"ACRU",54,2.9435,0.9132,-0.0141,1.658,-0.1095,71,"(50,75]",75,75
"52967848010538","0023200205040702502686",2686,2,2002,1,318,4,NA,74.965282,570.349380575099,42,97,"ACSA",4,3.3721,0.8407,-0.015,2.6208,-0.2661,3,"(0,10]",10,10
"52967848010538","0023200205040702502686",2686,2,2002,2,371,3.6,NA,74.965282,391.822545857257,42,97,"BEAL",4,2.2835,0.9794,-0.0054,0.5819,-0.0281,1,"(0,10]",10,10
"52967848010538","0023200205040702502686",2686,2,2002,3,318,3,NA,74.965282,281.277155779329,42,97,"ACSA",4,3.3721,0.8407,-0.015,2.6208,-0.2661,3,"(0,10]",10,10
"52967848010538","0023200205040702502686",2686,2,2002,4,318,1.8,NA,74.965282,79.0466766496465,42,97,"ACSA",4,3.3721,0.8407,-0.015,2.6208,-0.2661,3,"(0,10]",10,10
"52967848010538","0023200205040702502686",2686,2,2002,5,318,4.9,NA,74.965282,937.649241428685,42,97,"ACSA",4,3.3721,0.8407,-0.015,2.6208,-0.2661,3,"(0,10]",10,10
"52967848010538","0023200205040702502686",2686,2,2002,6,371,3.3,NA,74.965282,318.307426499414,42,97,"BEAL",4,2.2835,0.9794,-0.0054,0.5819,-0.0281,1,"(0,10]",10,10
"52967848010538","0023200205040702502686",2686,2,2002,8,318,7.3,63,6.018046,226.496341508125,42,97,"ACSA",63,3.3721,0.8407,-0.015,2.6208,-0.2661,108,"(100,125]",125,125
